strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r
PEM,M5,long,2024-08-29 17:00:00+00:00,2024-08-29 19:00:00+00:00,2522.715,2519.195,2516.155,2535.835,25,timeout,-0.5365853658536602
PEM,M5,long,2024-08-29 22:10:00+00:00,2024-08-29 23:10:00+00:00,2522.365,2518.175,2518.175,2530.744999999999,13,sl,-1.0
PEM,M5,long,2024-08-30 00:00:00+00:00,2024-08-30 01:50:00+00:00,2525.828,2522.075,2522.075,2533.3340000000003,23,sl,-1.0
PEM,M5,short,2024-08-30 02:55:00+00:00,2024-08-30 05:50:00+00:00,2521.645,2520.985,2523.135,2518.6649999999995,25,timeout,0.44295302013406024
PEM,M5,short,2024-08-30 06:30:00+00:00,2024-08-30 06:45:00+00:00,2519.845,2518.8389999999995,2520.348,2518.8389999999995,4,tp,2.0
PEM,M5,long,2024-08-30 15:15:00+00:00,2024-08-30 17:15:00+00:00,2522.685,2521.145,2518.895,2530.265,25,timeout,-0.4063324538258518
PEM,M5,short,2024-08-30 21:35:00+00:00,2024-08-30 23:35:00+00:00,2508.935,2501.745,2517.424,2491.957,25,timeout,0.8469784426905439
PEM,M5,long,2024-09-02 07:45:00+00:00,2024-09-02 08:00:00+00:00,2503.875,2502.215,2502.215,2507.1949999999997,4,sl,-1.0
PEM,M5,long,2024-09-02 15:45:00+00:00,2024-09-02 17:45:00+00:00,2502.958,2500.265,2497.278,2514.3180000000007,25,timeout,-0.474119718309872
PEM,M5,long,2024-09-02 19:35:00+00:00,2024-09-02 20:10:00+00:00,2501.665,2499.165,2499.165,2506.665,8,sl,-1.0
PEM,M5,short,2024-09-03 00:55:00+00:00,2024-09-03 06:20:00+00:00,2499.505,2497.785,2501.115,2496.2850000000008,25,timeout,1.0683229813668351
PEM,M5,short,2024-09-03 12:20:00+00:00,2024-09-03 13:20:00+00:00,2493.975,2496.085,2496.085,2489.7549999999997,13,sl,-1.0
PEM,M5,long,2024-09-03 15:40:00+00:00,2024-09-03 17:05:00+00:00,2505.075,2500.175,2500.175,2514.874999999999,18,sl,-1.0
PEM,M5,long,2024-09-04 06:30:00+00:00,2024-09-04 07:35:00+00:00,2494.304,2492.348,2492.348,2498.2160000000003,14,sl,-1.0
PEM,M5,long,2024-09-04 09:40:00+00:00,2024-09-04 11:40:00+00:00,2495.465,2495.135,2492.268,2501.8590000000004,25,timeout,-0.10322177040973263
PEM,M5,short,2024-09-04 15:55:00+00:00,2024-09-04 16:55:00+00:00,2475.895,2482.945,2482.945,2461.7949999999996,13,sl,-1.0
PEM,M5,long,2024-09-04 18:35:00+00:00,2024-09-04 18:40:00+00:00,2490.205,2487.678,2487.678,2495.259,2,sl,-1.0
PEM,M5,short,2024-09-04 19:35:00+00:00,2024-09-04 19:45:00+00:00,2485.855,2489.448,2489.448,2478.6690000000003,3,sl,-1.0
PEM,M5,short,2024-09-05 02:50:00+00:00,2024-09-05 03:10:00+00:00,2491.915,2494.445,2494.445,2486.8549999999996,5,sl,-1.0
PEM,M5,long,2024-09-05 03:45:00+00:00,2024-09-05 06:40:00+00:00,2495.568,2496.345,2493.788,2499.1280000000006,25,timeout,0.43651685393230427
PEM,M5,long,2024-09-05 14:25:00+00:00,2024-09-05 15:25:00+00:00,2505.278,2511.1379999999995,2502.348,2511.1379999999995,13,tp,2.0
PEM,M5,long,2024-09-06 01:05:00+00:00,2024-09-06 03:05:00+00:00,2515.058,2515.418,2512.348,2520.478,25,timeout,0.13284132841332932
PEM,M5,long,2024-09-06 12:20:00+00:00,2024-09-06 13:35:00+00:00,2519.785,2518.185,2518.185,2522.9849999999997,16,sl,-1.0
PEM,M5,short,2024-09-06 22:50:00+00:00,2024-09-06 23:05:00+00:00,2508.395,2497.569,2513.808,2497.569,4,tp,2.0
PEM,M5,short,2024-09-06 23:50:00+00:00,2024-09-07 00:30:00+00:00,2487.585,2496.045,2496.045,2470.665,9,sl,-1.0
PEM,M5,short,2024-09-07 02:10:00+00:00,2024-09-07 02:35:00+00:00,2492.325,2496.185,2496.185,2484.6049999999996,6,sl,-1.0
PEM,M5,long,2024-09-07 04:00:00+00:00,2024-09-09 06:55:00+00:00,2497.318,2496.515,2493.305,2505.344000000001,25,timeout,-0.20009967605289394
PEM,M5,long,2024-09-09 09:15:00+00:00,2024-09-09 11:15:00+00:00,2498.695,2498.735,2495.765,2504.5550000000007,25,timeout,0.01365187713309203
PEM,M5,short,2024-09-09 12:40:00+00:00,2024-09-09 12:50:00+00:00,2495.145,2489.6249999999995,2497.905,2489.6249999999995,3,tp,2.0
PEM,M5,short,2024-09-09 15:25:00+00:00,2024-09-09 16:15:00+00:00,2493.114,2495.335,2495.335,2488.672,11,sl,-1.0
PEM,M5,long,2024-09-09 17:15:00+00:00,2024-09-09 17:20:00+00:00,2498.218,2495.665,2495.665,2503.3239999999996,2,sl,-1.0
PEM,M5,long,2024-09-10 01:55:00+00:00,2024-09-10 03:55:00+00:00,2504.435,2505.938,2499.365,2514.5750000000003,25,timeout,0.29644970414203314
PEM,M5,short,2024-09-10 09:35:00+00:00,2024-09-10 11:35:00+00:00,2501.765,2501.295,2504.285,2496.725,25,timeout,0.18650793650785846
PEM,M5,short,2024-09-10 15:05:00+00:00,2024-09-10 17:00:00+00:00,2502.025,2506.265,2506.265,2493.5450000000005,24,sl,-1.0
PEM,M5,long,2024-09-10 19:40:00+00:00,2024-09-10 21:15:00+00:00,2508.115,2504.275,2504.275,2515.794999999999,20,sl,-1.0
PEM,M5,long,2024-09-11 03:05:00+00:00,2024-09-11 06:00:00+00:00,2517.245,2516.365,2514.225,2523.285,25,timeout,-0.2913907284768591
PEM,M5,long,2024-09-11 09:35:00+00:00,2024-09-11 10:05:00+00:00,2519.155,2517.445,2517.445,2522.5750000000003,7,sl,-1.0
PEM,M5,long,2024-09-11 12:15:00+00:00,2024-09-11 13:10:00+00:00,2520.575,2523.8089999999993,2518.958,2523.8089999999993,12,tp,2.0
PEM,M5,short,2024-09-12 02:10:00+00:00,2024-09-12 03:00:00+00:00,2509.838,2512.548,2512.548,2504.418000000001,11,sl,-1.0
PEM,M5,long,2024-09-12 10:35:00+00:00,2024-09-12 11:00:00+00:00,2513.735,2516.0550000000007,2512.575,2516.0550000000007,6,tp,2.0
PEM,M5,long,2024-09-12 11:10:00+00:00,2024-09-12 13:05:00+00:00,2516.735,2520.3750000000005,2514.915,2520.3750000000005,24,tp,2.0
PEM,M5,long,2024-09-12 21:45:00+00:00,2024-09-12 23:45:00+00:00,2549.385,2548.118,2542.588,2562.9790000000003,25,timeout,-0.18640576725029798
