strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,hour,session,atr14,atr_pct_rank,vol_bucket,ema55_slope_norm,trend_bucket,close,ema55,vwap
PEM,M15,short,2025-05-07 08:00:00+00:00,2025-05-07 11:00:00+00:00,3365.315,3376.065,3424.115,3247.7150000000006,13,timeout,-0.18282312925170152,8,London,12.217739079454171,1.0,HighVol,-0.18177883099694805,Moderate,3377.895,3394.08394167494,3399.612209647544
PEM,M15,long,2025-05-08 07:45:00+00:00,2025-05-08 10:45:00+00:00,3384.225,3398.005,3363.035,3426.605,13,timeout,0.6503067484662655,7,London,5.811048385097296,0.041666666666666664,LowVol,0.002139179306873464,Flat,3383.255,3379.216093444397,3377.058677295079
PEM,M15,long,2025-05-09 18:45:00+00:00,2025-05-09 21:45:00+00:00,3330.235,3335.965,3319.925,3350.855,13,timeout,0.5557710960232831,18,NY_Late,6.360103243442296,0.10416666666666667,LowVol,0.19545951887228036,Moderate,3330.725,3321.816015094681,3312.3707368267196
PEM,M15,long,2025-05-09 23:30:00+00:00,2025-05-10 02:30:00+00:00,3346.645,3328.925,3328.925,3382.0849999999996,13,sl,-1.0,23,NY_Late,7.000958928185575,0.3854166666666667,MidVol,0.37895686634724773,Strong,3337.945,3329.2248734032587,3317.0692724450932
PEM,M15,short,2025-05-10 02:45:00+00:00,2025-05-12 05:00:00+00:00,3328.955,3302.215,3342.325,3302.215,7,tp,2.0,2,Asia,5.307601001874514,0.03125,LowVol,0.04136254500938272,Flat,3327.075,3331.931190221779,3337.161263093262
PEM,M15,short,2025-05-12 14:30:00+00:00,2025-05-12 17:30:00+00:00,3247.795,3215.315,3284.505,3174.375,13,timeout,0.8847725415418138,14,NY_Overlap,10.164361843294847,0.9583333333333334,HighVol,-0.5823805117583594,Strong,3230.725,3286.665781553177,3272.400230418494
PEM,M15,short,2025-05-12 23:45:00+00:00,2025-05-13 02:45:00+00:00,3227.525,3235.345,3240.915,3200.7450000000003,13,timeout,-0.5840179238237329,23,NY_Late,8.291570507654827,0.3541666666666667,MidVol,-0.29019526213236246,Strong,3227.775,3244.951006926409,3251.3551043381267
PEM,M15,long,2025-05-13 12:00:00+00:00,2025-05-13 15:00:00+00:00,3247.295,3258.655,3224.845,3292.1950000000006,13,timeout,0.5060133630289527,12,London,6.374287299308864,0.3020833333333333,LowVol,0.17040690521905358,Moderate,3251.065,3236.554892788358,3232.610267193347
PEM,M15,short,2025-05-14 09:30:00+00:00,2025-05-14 12:30:00+00:00,3237.135,3223.045,3257.635,3196.135,13,timeout,0.6873170731707388,9,London,5.813357472045974,0.4479166666666667,MidVol,-0.2070851563678081,Moderate,3234.345,3247.078553146821,3245.3297089468647
PEM,M15,short,2025-05-14 19:15:00+00:00,2025-05-14 20:15:00+00:00,3219.205,3179.885,3238.865,3179.885,5,tp,2.0,19,NY_Late,6.209341634974859,0.78125,HighVol,-0.2425677550483091,Moderate,3213.375,3234.4076734035593,3236.5786733316877
PEM,M15,short,2025-05-15 11:45:00+00:00,2025-05-15 12:45:00+00:00,3148.425,3133.1050000000005,3156.085,3133.1050000000005,5,tp,2.0,11,London,6.238725678400477,0.5833333333333334,MidVol,-0.9248600913736195,Strong,3142.495,3177.786592291654,3170.6838936434037
PEM,M15,long,2025-05-15 16:15:00+00:00,2025-05-15 19:15:00+00:00,3162.815,3179.915,3138.555,3211.3350000000005,13,timeout,0.704863973619116,16,NY_Overlap,8.797577554231916,0.9583333333333334,HighVol,-0.10019887026760174,Moderate,3166.955,3162.1796843263182,3157.901131312473
PEM,M15,long,2025-05-15 19:45:00+00:00,2025-05-15 22:15:00+00:00,3184.205,3207.045,3172.785,3207.045,11,tp,2.0,19,NY_Late,6.7483918897809385,0.4895833333333333,MidVol,0.3748241485904602,Strong,3183.205,3167.9430681589943,3160.075998842744
PEM,M15,short,2025-05-16 10:15:00+00:00,2025-05-16 13:15:00+00:00,3216.515,3225.165,3239.355,3170.8349999999996,13,timeout,-0.3787215411558685,10,London,7.215785381203723,0.65625,MidVol,-0.03503880601893596,Flat,3207.125,3219.080569127102,3229.0872122617116
PEM,M15,short,2025-05-16 18:00:00+00:00,2025-05-16 21:00:00+00:00,3193.335,3184.525,3216.705,3146.5950000000003,13,timeout,0.37697903294822366,18,NY_Late,8.472551344709832,1.0,HighVol,-0.3388177807232843,Strong,3176.835,3211.4651613389838,3220.6095862282036
PEM,M15,long,2025-05-17 02:45:00+00:00,2025-05-19 06:00:00+00:00,3194.555,3238.8349999999996,3172.415,3238.8349999999996,11,tp,2.0,2,Asia,5.555730854534823,0.14583333333333334,LowVol,0.011359295078642381,Flat,3195.265,3191.421257155706,3188.596348348986
PEM,M15,short,2025-05-19 11:15:00+00:00,2025-05-19 13:30:00+00:00,3212.695,3230.095,3230.095,3177.895000000001,10,sl,-1.0,11,London,8.107398929934892,0.6041666666666666,MidVol,0.10817883410949959,Moderate,3211.545,3214.270914517984,3231.035250508472
PEM,M15,short,2025-05-20 01:15:00+00:00,2025-05-20 05:00:00+00:00,3225.885,3228.925,3236.105,3205.4450000000006,13,timeout,-0.29745596868884766,1,Asia,5.809023376165808,0.13541666666666666,LowVol,-0.05645209007206997,Flat,3228.795,3230.2356475439383,3229.4672864613285
PEM,M15,short,2025-05-20 06:45:00+00:00,2025-05-20 08:15:00+00:00,3221.245,3227.295,3227.295,3209.1449999999995,7,sl,-1.0,6,Asia,3.9095127951242308,0.03125,LowVol,-0.3057321771138933,Strong,3222.055,3229.3190113331357,3229.7699064638496
PEM,M15,long,2025-05-20 16:15:00+00:00,2025-05-20 19:15:00+00:00,3236.165,3236.085,3208.265,3291.965,13,timeout,-0.0028673835125421856,16,NY_Overlap,5.7926373086671665,0.6354166666666666,MidVol,0.26103788825976465,Strong,3233.335,3221.1587974943927,3219.7092001064484
