strategy,timeframe,direction,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,bars_held,reason,pnl_r,session,hour,atr_pct_rank
PEM_M15_V2,M15,short,2021-10-08 06:30:00+00:00,2021-10-08 08:00:00+00:00,1754.628,1756.298,1756.298,1751.2879999999998,7,sl,-1.0,Asia,6,0.3229166666666667
PEM_M15_V2,M15,long,2021-10-08 19:45:00+00:00,2021-10-08 21:45:00+00:00,1767.648,1759.168,1759.168,1784.608,9,sl,-1.0,NY_Late,19,0.8333333333333334
PEM_M15_V2,M15,long,2021-10-12 18:15:00+00:00,2021-10-12 19:30:00+00:00,1762.308,1757.308,1757.308,1772.308,6,sl,-1.0,NY_Late,18,0.8125
PEM_M15_V2,M15,long,2021-10-13 19:15:00+00:00,2021-10-13 19:45:00+00:00,1773.958,1769.918,1769.918,1782.0380000000005,3,sl,-1.0,NY_Late,19,0.6145833333333334
PEM_M15_V2,M15,short,2021-10-15 23:15:00+00:00,2021-10-16 02:15:00+00:00,1767.574,1767.454,1778.778,1745.1660000000002,13,timeout,0.01071046054981424,NY_Late,23,0.9270833333333334
PEM_M15_V2,M15,short,2021-10-19 23:45:00+00:00,2021-10-20 02:45:00+00:00,1767.448,1769.734,1782.858,1736.6280000000004,13,timeout,-0.1483452303698801,NY_Late,23,0.8541666666666666
PEM_M15_V2,M15,long,2021-10-21 00:00:00+00:00,2021-10-21 03:00:00+00:00,1785.234,1785.698,1777.838,1800.0259999999998,13,timeout,0.0627366143861779,NY_Late,23,0.8333333333333334
PEM_M15_V2,M15,long,2021-10-22 17:30:00+00:00,2021-10-22 19:00:00+00:00,1793.414,1791.614,1791.614,1797.014,7,sl,-1.0,NY_Late,17,0.5104166666666666
PEM_M15_V2,M15,short,2021-10-23 01:15:00+00:00,2021-10-25 05:00:00+00:00,1792.094,1792.458,1798.478,1779.326,13,timeout,-0.05701754385965412,Asia,1,0.90625
PEM_M15_V2,M15,long,2021-10-25 18:45:00+00:00,2021-10-25 21:00:00+00:00,1801.508,1807.6960000000001,1798.414,1807.6960000000001,10,tp,2.0,NY_Late,18,0.0625
PEM_M15_V2,M15,long,2021-10-27 23:30:00+00:00,2021-10-28 02:30:00+00:00,1795.804,1795.068,1791.284,1804.844,13,timeout,-0.16283185840710324,NY_Late,23,0.8854166666666666
PEM_M15_V2,M15,long,2021-11-01 17:15:00+00:00,2021-11-01 18:15:00+00:00,1786.348,1783.488,1783.488,1792.0679999999998,5,sl,-1.0,NY_Late,17,0.3020833333333333
PEM_M15_V2,M15,short,2021-11-03 00:00:00+00:00,2021-11-03 03:00:00+00:00,1787.788,1787.944,1792.794,1777.7759999999998,13,timeout,-0.031162604874140312,NY_Late,23,0.8645833333333334
PEM_M15_V2,M15,long,2021-11-09 02:00:00+00:00,2021-11-09 05:00:00+00:00,1825.803,1823.508,1822.453,1832.5030000000004,13,timeout,-0.6850746268656654,Asia,1,0.4895833333333333
PEM_M15_V2,M15,long,2021-11-10 01:15:00+00:00,2021-11-10 04:15:00+00:00,1830.018,1832.358,1825.35,1839.3540000000003,13,timeout,0.5012853470436713,Asia,1,0.84375
PEM_M15_V2,M15,short,2021-11-10 17:15:00+00:00,2021-11-10 20:15:00+00:00,1825.353,1826.733,1826.733,1822.5930000000003,13,sl,-1.0,NY_Late,17,0.3645833333333333
PEM_M15_V2,M15,long,2021-11-13 01:30:00+00:00,2021-11-13 04:30:00+00:00,1864.314,1863.994,1860.968,1871.006,13,timeout,-0.09563658099227836,Asia,1,0.8125
PEM_M15_V2,M15,long,2021-11-15 06:30:00+00:00,2021-11-15 08:15:00+00:00,1866.848,1862.434,1862.434,1875.676,8,sl,-1.0,Asia,6,0.4791666666666667
PEM_M15_V2,M15,long,2021-11-15 17:30:00+00:00,2021-11-15 19:45:00+00:00,1862.768,1860.698,1860.698,1866.908,10,sl,-1.0,NY_Late,17,0.15625
PEM_M15_V2,M15,long,2021-11-17 19:30:00+00:00,2021-11-17 22:30:00+00:00,1863.758,1865.234,1859.718,1871.838,13,timeout,0.36534653465344025,NY_Late,19,0.5833333333333334
PEM_M15_V2,M15,short,2021-11-22 20:15:00+00:00,2021-11-22 21:30:00+00:00,1839.118,1824.9379999999996,1846.208,1824.9379999999996,6,tp,2.0,NY_Late,20,0.4166666666666667
PEM_M15_V2,M15,short,2021-11-23 18:45:00+00:00,2021-11-23 20:15:00+00:00,1795.468,1788.3080000000002,1799.048,1788.3080000000002,7,tp,2.0,NY_Late,18,0.53125
PEM_M15_V2,M15,short,2021-11-24 20:00:00+00:00,2021-11-24 23:00:00+00:00,1785.328,1784.185,1789.108,1777.768,13,timeout,0.30238095238096224,NY_Late,19,0.4375
PEM_M15_V2,M15,short,2021-11-25 01:00:00+00:00,2021-11-25 04:00:00+00:00,1785.558,1788.048,1789.935,1776.804,13,timeout,-0.5688827964359232,Asia,0,0.75
PEM_M15_V2,M15,short,2021-11-27 00:00:00+00:00,2021-11-29 07:00:00+00:00,1785.118,1795.378,1813.458,1728.4379999999996,13,timeout,-0.36203246294989194,NY_Late,23,1.0
PEM_M15_V2,M15,short,2021-11-30 01:00:00+00:00,2021-11-30 04:00:00+00:00,1782.928,1783.645,1793.938,1760.9080000000001,13,timeout,-0.06512261580380303,Asia,0,0.3125
PEM_M15_V2,M15,long,2021-12-04 00:30:00+00:00,2021-12-04 03:30:00+00:00,1780.778,1784.315,1769.618,1803.0980000000002,13,timeout,0.31693548387096854,Asia,0,0.9583333333333334
PEM_M15_V2,M15,long,2021-12-07 07:00:00+00:00,2021-12-07 10:00:00+00:00,1781.375,1779.858,1777.838,1788.449,13,timeout,-0.4288945433983709,Asia,6,0.03125
PEM_M15_V2,M15,short,2021-12-07 21:00:00+00:00,2021-12-07 23:30:00+00:00,1774.195,1784.158,1784.158,1754.269,11,sl,-1.0,NY_Late,20,0.84375
PEM_M15_V2,M15,long,2021-12-08 00:00:00+00:00,2021-12-08 03:00:00+00:00,1786.12,1784.618,1780.598,1797.1639999999998,13,timeout,-0.2720028975009001,NY_Late,23,0.90625
PEM_M15_V2,M15,long,2021-12-08 18:00:00+00:00,2021-12-08 18:30:00+00:00,1791.968,1787.938,1787.938,1800.028,3,sl,-1.0,NY_Late,17,0.5729166666666666
PEM_M15_V2,M15,short,2021-12-16 01:30:00+00:00,2021-12-16 02:00:00+00:00,1765.155,1758.9149999999997,1768.275,1758.9149999999997,3,tp,2.0,Asia,1,0.7604166666666666
PEM_M15_V2,M15,long,2021-12-17 06:15:00+00:00,2021-12-17 07:45:00+00:00,1798.755,1797.775,1797.775,1800.7150000000001,7,sl,-1.0,Asia,6,0.0625
PEM_M15_V2,M15,short,2021-12-18 00:45:00+00:00,2021-12-18 03:45:00+00:00,1803.945,1797.968,1809.539,1792.7569999999998,13,timeout,1.0684662138004661,Asia,0,0.84375
PEM_M15_V2,M15,short,2021-12-20 17:30:00+00:00,2021-12-20 20:30:00+00:00,1798.838,1795.878,1802.238,1792.0379999999998,13,timeout,0.870588235294105,NY_Late,17,0.22916666666666666
